Age,IQ,CGPA,Years_of_Experience,Package_LPA
32,82,7.81,13,38.94
53,101,8.44,9,32.25
27,133,9.37,7,30.22
37,115,5.5,5,20.8
30,118,9.18,12,39.38
51,97,5.1,13,35.34
26,106,5.31,6,20.04
37,146,9.54,1,18.28
57,92,8.53,0,14.48
38,96,8.21,3,19.72
46,140,7.59,3,19.65
36,97,8.9,10,34.82
28,96,8.64,13,40.56
44,135,6.72,11,34.61
33,127,7.48,11,34.33
49,95,7.41,7,27.05
52,104,7.17,1,14.42
44,144,8.41,10,34.35
36,106,9.06,8,31.48
31,93,9.78,13,41.96
52,129,7.07,5,23.12
26,108,8.49,8,30.24
55,107,7.82,9,32.42
53,100,5.9,1,12.66
38,103,6.53,0,11.81
57,125,9.25,14,44.19
33,139,9.04,0,15.36
30,99,9.26,1,17.75
57,131,5.21,3,16.38
46,101,9.95,7,30.18
37,147,7.79,0,13.76
21,95,7.53,10,33.15
45,100,8.67,8,31.28
54,123,5.66,12,35.39
59,141,6.14,10,31.16
30,100,9.71,11,38.22
40,90,6.03,0,10.99
27,139,6.68,14,39.34
36,116,6.23,9,29.28
57,123,7.42,5,24.03
49,101,9.02,2,19.14
32,145,9.19,14,43.84
37,122,6.62,9,28.44
40,154,5.37,13,35.75
46,100,5.56,12,34.87
39,112,9.08,8,31.1
32,96,7.14,7,26.67
41,115,9.11,0,16.31
54,93,5.07,10,29.38
27,116,5.17,7,23.03
55,110,6.58,3,18.86
35,83,6.02,6,22.53
21,85,8.23,13,39.87
46,129,7.93,9,31.88
55,156,9.47,9,35.11
45,117,8.94,9,34.09
35,158,5.5,12,34.0
42,84,9.44,3,22.17
26,117,5.6,6,22.57
35,103,5.98,7,24.16
44,97,7.53,3,19.13
41,111,5.56,1,11.92
27,150,6.13,1,12.22
49,151,7.24,5,23.26
52,109,6.24,0,11.82
52,109,9.73,2,20.67
25,84,5.81,3,15.91
24,83,7.87,11,35.32
42,130,7.49,4,21.4
38,88,7.26,9,30.79
55,134,6.17,12,35.66
37,112,5.95,12,34.36
44,110,6.52,0,12.01
22,133,7.96,0,13.65
33,140,7.9,11,36.41
35,145,8.86,5,25.79
25,99,6.52,0,10.78
23,155,8.55,4,23.64
57,140,9.41,0,16.61
57,115,9.29,0,15.66
57,99,7.33,13,38.83
23,124,8.31,6,26.07
55,125,9.16,13,42.56
43,97,5.78,7,23.43
48,149,9.79,2,20.37
50,153,8.01,5,24.08
38,97,6.41,6,24.13
56,143,7.62,4,22.47
53,113,8.68,1,16.8
46,158,9.11,1,17.82
37,82,6.54,4,19.82
27,151,6.71,11,34.23
28,90,9.09,11,36.98
51,125,9.2,7,29.77
32,121,8.44,9,32.27
51,96,8.42,10,34.48
39,126,6.26,7,26.29
30,109,9.78,6,29.23
59,122,9.25,11,38.73
32,87,9.36,2,19.51
40,119,5.98,13,38.15
57,150,9.92,14,46.36
27,99,7.23,0,12.41
34,155,8.41,10,34.18
31,107,9.49,14,44.71
27,107,5.5,8,26.31
49,138,6.59,10,31.66
30,141,6.84,1,14.75
49,159,8.87,7,31.17
29,153,6.48,9,30.25
56,133,6.95,13,38.64
30,86,6.9,14,40.24
39,147,9.56,8,32.81
51,103,5.02,12,33.11
37,120,5.7,9,29.34
29,133,9.64,8,32.25
53,93,8.05,14,41.51
54,123,5.45,12,34.49
44,128,7.37,6,25.32
29,142,9.68,3,22.87
27,124,8.78,11,36.92
36,151,6.28,9,29.41
39,156,7.17,1,15.29
59,86,7.45,1,15.08
26,82,8.82,1,15.28
31,126,8.89,1,16.34
32,140,6.47,13,37.62
33,150,8.63,5,25.05
32,109,9.87,11,38.76
41,84,5.36,0,8.84
30,151,9.08,6,27.53
40,86,7.97,3,19.54
56,118,6.9,11,34.8
48,81,8.95,6,27.92
44,122,6.63,7,26.16
25,91,6.68,6,22.76
57,107,7.5,14,41.99
32,98,7.29,12,37.2
55,107,5.67,9,28.17
22,155,5.13,7,23.89
59,149,8.16,13,42.09
29,98,6.67,3,18.23
42,143,7.62,5,23.42
25,88,6.03,11,33.4
32,120,7.84,5,23.55
21,129,6.66,11,33.99
42,89,8.05,11,37.19
58,153,8.38,11,37.45
39,133,5.02,3,16.34
36,89,7.16,4,20.42
51,86,8.63,2,18.35
23,111,8.7,8,29.96
43,133,6.9,11,33.44
38,149,9.1,4,23.89
46,142,8.25,5,24.94
33,113,9.95,7,30.16
38,122,7.56,11,35.26
23,84,6.88,13,37.88
43,98,9.6,6,27.83
23,133,7.02,9,30.3
45,93,8.2,10,34.15
47,89,9.13,6,26.35
47,128,7.3,7,26.3
59,90,7.21,1,15.54
45,110,6.44,13,37.5
44,145,9.81,13,42.99
28,89,9.72,2,19.98
29,100,7.33,2,15.86
57,80,6.64,14,40.09
50,125,5.64,9,28.93
39,154,7.39,3,18.56
36,153,9.47,10,36.69
44,99,9.35,6,27.8
41,100,5.58,12,34.17
56,116,7.43,2,17.66
59,93,9.08,1,17.9
26,137,9.18,7,29.84
25,136,9.67,6,28.18
34,136,6.02,12,35.25
24,148,7.07,8,28.64
28,149,9.77,2,21.1
44,103,6.35,7,25.01
31,159,6.67,3,18.43
37,139,6.13,2,15.37
41,102,7.69,4,21.27
46,126,7.65,14,42.62
47,117,9.09,5,26.05
36,159,7.06,4,20.62
46,131,6.25,6,23.51
53,92,9.15,11,37.35
51,87,8.25,8,30.27
26,111,5.78,11,32.51
28,96,7.85,2,18.17
27,84,7.3,12,36.45
54,151,9.23,0,16.38
34,129,8.01,1,15.96
36,91,8.96,14,43.39
29,123,7.32,12,36.47
30,156,9.9,4,24.56
37,147,9.0,9,33.55
32,138,7.99,6,26.18
26,89,9.06,1,18.13
39,127,6.6,11,33.19
49,107,9.89,10,36.74
26,84,7.07,9,30.16
45,123,6.85,3,19.21
44,110,8.94,0,15.49
45,95,8.15,13,39.28
36,102,8.84,14,42.41
36,100,8.9,0,15.12
26,81,8.18,0,13.33
57,102,9.22,14,44.51
41,159,8.63,12,39.15
24,90,7.89,11,34.93
54,152,8.81,7,29.84
48,81,7.49,2,17.22
58,92,7.43,1,15.24
48,124,6.7,6,24.05
37,151,9.24,1,17.42
34,89,6.5,4,18.5
27,100,6.26,6,22.81
42,80,6.1,11,32.22
21,95,8.3,8,29.98
49,122,6.0,13,36.87
51,85,9.34,9,33.81
50,155,8.49,8,31.65
35,90,8.95,8,31.05
38,145,5.7,3,16.97
55,128,5.07,14,38.14
50,99,5.41,3,15.81
54,100,8.39,7,28.33
31,115,5.52,12,34.81
47,117,7.36,5,23.48
44,135,9.02,2,19.53
55,90,6.79,4,19.99
59,97,5.24,14,38.65
28,124,9.42,1,18.03
38,105,8.54,1,16.59
33,138,5.18,12,32.98
44,85,6.62,3,17.3
43,122,6.86,9,30.85
32,131,9.34,14,44.1
50,141,5.43,6,22.99
51,96,8.85,3,21.39
48,156,9.87,12,41.42
42,125,6.93,4,20.56
48,120,5.12,9,28.09
33,92,6.2,14,39.56
45,85,5.63,8,26.11
27,112,8.95,13,40.83
26,83,6.76,2,16.05
44,157,9.49,11,38.9
39,129,9.57,7,29.63
39,127,6.84,2,16.96
56,106,8.02,2,19.16
29,85,9.72,12,40.91
56,137,5.43,12,34.73
58,142,8.86,14,43.38
49,80,5.25,12,33.09
44,107,7.22,3,19.14
25,108,7.56,10,32.92
46,107,7.75,10,33.37
34,153,9.25,5,25.98
59,147,6.03,4,19.52
49,120,7.21,8,28.68
26,134,6.37,12,35.41
27,111,7.95,6,25.46
57,148,7.79,12,38.65
38,101,8.94,9,34.3
43,136,5.89,4,18.24
58,101,9.08,6,27.04
21,145,6.74,14,40.01
24,120,7.84,11,35.3
55,122,6.14,7,25.37
43,113,7.39,2,17.79
47,81,5.83,4,18.06
46,138,8.43,6,27.47
28,115,5.23,8,26.36
36,87,8.01,2,17.86
23,112,8.76,10,34.45
52,112,9.41,8,32.6
25,147,9.09,9,34.13
40,97,9.47,13,42.5
34,143,8.07,6,26.46
52,140,5.26,0,9.06
46,89,9.85,11,38.89
26,129,8.89,0,15.73
56,101,7.97,5,24.59
25,118,7.3,1,14.74
33,144,5.49,4,18.38
52,109,5.05,6,21.75
36,84,7.18,4,20.5
21,105,9.87,10,36.65
33,142,7.63,12,37.08
31,125,6.96,12,36.83
28,110,7.28,0,12.27
45,120,6.49,7,25.33
52,91,9.88,2,20.39
44,96,5.67,10,30.21
48,97,8.48,0,14.71
34,145,7.26,11,36.87
23,118,5.76,11,32.26
56,153,7.94,6,26.96
47,112,7.97,3,20.57
40,154,5.9,13,36.49
35,87,7.3,0,12.96
47,105,9.49,4,25.21
48,155,5.57,9,28.18
45,114,9.88,6,29.33
53,136,5.04,3,15.85
34,158,8.11,12,38.43
28,100,7.81,3,19.72
34,116,5.06,14,37.27
21,84,8.1,1,15.18
36,96,8.98,6,26.75
38,104,5.29,7,24.45
27,140,7.51,6,25.6
35,116,8.65,14,41.84
44,145,8.97,4,24.79
33,92,9.11,11,37.87
29,119,5.41,0,8.99
35,121,8.32,13,40.75
55,149,8.6,3,20.43
44,154,6.37,10,31.97
53,104,9.88,0,16.8
36,121,8.59,0,15.12
28,89,9.59,14,44.54
49,122,8.47,1,16.97
43,147,5.65,12,35.03
51,107,6.3,1,13.68
34,103,7.12,0,11.79
50,120,7.14,1,14.64
59,140,8.23,4,23.84
47,84,7.9,0,13.3
36,90,5.43,11,32.2
26,87,9.2,13,40.61
53,100,9.27,5,25.56
38,143,9.26,1,18.13
36,84,6.1,8,26.82
32,113,6.59,5,21.18
40,88,8.68,0,13.64
49,117,7.03,11,35.37
50,122,7.24,14,40.66
46,89,7.98,2,17.89
42,91,5.17,1,11.32
53,97,5.15,12,33.42
59,91,5.3,6,21.77
49,110,6.11,11,33.58
42,90,9.91,14,44.87
33,106,5.49,3,16.75
29,100,9.42,2,19.29
44,153,5.6,13,36.63
35,92,8.68,11,36.4
56,124,8.18,1,17.46
33,126,8.64,4,22.34
47,104,5.43,3,17.19
57,156,8.76,14,43.67
27,143,6.63,5,21.99
28,149,6.26,13,37.28
57,107,8.12,8,31.06
34,99,5.5,8,25.2
32,120,6.21,3,17.49
56,83,7.76,5,23.17
37,148,8.9,12,38.95
49,103,9.34,2,20.21
47,96,7.13,10,32.82
21,84,9.88,0,16.17
54,136,8.87,7,30.61
24,105,7.01,9,30.73
44,151,6.96,6,24.45
41,152,7.2,4,21.71
53,96,8.74,6,26.79
27,135,6.6,11,33.98
21,87,5.51,5,19.04
23,143,7.81,7,27.67
35,148,8.08,10,33.85
51,89,9.7,8,33.31
36,129,5.67,6,21.9
30,134,7.67,1,15.72
49,93,6.08,6,22.01
26,106,8.78,10,34.29
49,84,6.77,9,30.61
37,158,8.19,4,22.94
42,107,5.86,13,36.2
44,84,7.91,1,15.66
37,91,5.08,5,19.18
41,87,9.2,1,16.92
31,138,7.95,6,26.01
27,144,6.1,6,22.05
59,139,6.67,0,12.32
25,159,5.75,6,23.72
41,134,8.37,1,16.36
38,122,6.87,5,22.12
55,120,9.77,7,31.33
40,89,9.47,5,26.04
35,154,9.07,7,28.89
25,86,6.32,12,34.29
33,100,6.46,8,27.45
32,154,7.04,1,14.0
41,123,9.59,0,17.21
57,116,7.37,13,39.42
26,123,5.48,1,11.88
27,144,6.17,11,33.77
46,85,5.24,2,13.84
28,117,5.29,8,25.97
29,122,9.61,2,19.32
47,136,8.08,11,36.65
24,154,5.51,8,26.4
41,159,7.92,14,42.1
51,149,9.86,2,20.67
41,144,5.08,6,22.24
45,134,8.73,4,22.58
59,114,5.88,2,15.67
35,103,6.89,13,38.03
55,117,5.57,7,24.58
57,82,5.03,3,15.25
48,130,5.5,3,16.08
34,140,7.86,6,25.43
24,119,9.51,4,23.14
40,133,5.11,0,9.89
54,145,5.31,2,13.94
32,139,5.81,6,22.78
53,94,9.87,14,44.2
44,125,5.85,6,22.9
40,134,7.35,6,25.24
25,83,5.21,11,30.94
58,103,9.25,3,23.25
50,119,9.74,13,42.17
44,106,8.78,14,42.99
27,158,7.82,6,25.3
56,131,6.24,3,17.79
58,116,5.89,14,38.61
36,80,7.58,0,13.01
35,155,6.45,2,15.9
43,88,8.35,13,41.04
32,97,6.33,9,29.82
49,118,5.85,14,39.49
35,154,7.91,5,24.19
49,154,8.8,6,27.78
41,109,5.37,8,26.0
35,99,8.1,13,39.26
34,94,9.08,9,33.67
36,143,5.03,11,32.45
35,104,6.12,10,31.12
24,128,6.49,14,38.73
47,146,5.07,5,19.85
43,105,8.39,4,22.06
49,124,7.1,13,38.71
29,85,8.24,6,25.82
27,111,7.02,2,16.8
24,154,5.87,4,17.93
25,156,7.58,14,40.82
25,96,8.62,2,17.8
31,125,5.77,2,13.97
48,132,6.77,1,14.41
36,83,8.67,12,38.88
50,157,8.28,12,38.95
24,107,10.0,12,40.12
22,150,5.87,2,15.02
23,95,6.72,9,30.3
41,157,5.99,5,21.18
26,118,6.22,14,39.57
38,109,5.98,9,28.99
25,158,9.95,2,21.38
29,136,8.23,8,31.09
40,135,5.42,3,16.44
48,118,7.6,10,33.45
46,121,5.41,7,24.09
38,97,6.95,8,28.85
39,154,8.2,12,37.85
23,101,5.24,10,29.28
29,83,5.23,3,15.58
56,82,6.25,1,13.67
51,140,8.3,3,19.79
37,103,9.62,14,44.21
43,157,6.36,11,33.68
54,131,9.78,1,19.69
25,146,7.74,6,25.59
35,110,7.51,6,25.15
23,132,5.52,2,13.71
39,140,9.78,11,38.69
48,137,8.96,3,22.38
23,114,5.02,6,22.11
58,110,8.96,6,28.07
24,136,7.77,13,39.46
44,155,5.5,14,38.32
51,89,8.51,9,32.77
31,97,8.33,6,26.02
57,135,8.41,2,18.74
21,115,9.38,2,19.29
29,130,8.8,4,24.14
37,140,9.55,14,45.15
21,98,6.91,9,30.35
23,90,7.81,0,13.08
46,84,9.93,2,20.76
51,124,7.95,8,30.94
46,124,7.11,12,36.73
43,127,7.34,7,26.55
50,93,8.69,3,20.48
30,107,6.83,3,18.15
28,88,5.24,2,14.27
45,138,9.57,6,29.73
42,117,7.41,9,31.7
35,104,7.59,7,27.34
30,151,6.81,12,37.14
40,127,9.6,7,30.58
43,98,5.92,4,19.14
21,81,6.95,0,13.23
22,85,6.9,8,27.29
39,109,7.51,12,36.85
34,140,9.85,5,26.33
28,81,6.0,12,34.65
58,130,8.18,11,37.13
32,92,7.79,12,37.02
46,128,6.31,14,39.92
47,87,7.07,11,34.66
49,88,7.11,8,29.0
35,102,6.16,12,34.69
21,151,7.42,2,17.05
48,152,5.93,9,29.55
23,95,6.03,11,32.19
38,95,9.25,4,23.24
54,91,9.67,9,34.97
52,90,6.95,8,28.13
49,92,5.05,6,21.69
45,114,9.45,2,19.37
46,122,8.96,7,29.82
59,109,7.08,6,24.95
28,139,8.1,4,21.82
39,146,9.57,14,45.34
42,108,9.94,4,24.95
49,104,7.33,13,38.75
53,145,7.35,8,29.33
58,84,9.36,6,27.68
55,84,8.73,8,30.84
23,128,8.98,13,41.0
39,105,8.09,13,39.5
30,150,6.82,11,34.22
47,109,5.95,6,22.91
35,107,9.76,12,39.98
31,93,5.76,4,18.92
46,97,7.24,7,26.45
44,136,7.39,14,41.38
33,104,9.45,5,26.67
52,149,8.55,13,41.29
57,84,6.2,2,14.78
24,132,6.0,14,38.82
33,118,9.74,11,38.79
29,136,5.22,10,29.15
54,90,9.47,11,37.95
57,148,6.09,12,35.73
27,104,5.45,11,31.82
21,109,6.42,4,18.76
32,81,7.76,13,38.37
41,115,9.3,1,17.63
31,116,8.38,9,32.43
34,81,8.87,11,37.3
54,126,9.57,8,31.71
54,138,5.03,1,11.94
45,83,8.26,5,24.94
24,146,6.93,4,21.71
46,125,8.06,11,35.16
36,115,5.26,4,18.02
30,144,5.75,14,38.43
22,135,8.59,1,16.36
55,155,9.41,1,19.15
39,114,7.49,4,20.96
26,102,5.97,0,11.35
39,157,8.68,11,37.39
28,123,5.26,2,13.95
34,80,8.64,2,18.34
30,145,9.04,12,40.61
23,91,5.3,1,10.62
58,92,7.02,7,26.65
49,106,5.61,10,30.04
35,99,9.1,12,38.72
43,85,9.1,11,37.05
43,87,9.61,6,28.01
38,100,5.66,3,16.03
39,100,8.6,5,24.78
48,124,9.45,3,21.27
46,149,7.2,5,23.79
30,123,6.64,5,22.78
24,138,8.57,6,26.62
22,109,7.03,8,28.45
23,89,7.23,11,34.28
27,154,8.61,9,31.98
36,80,7.26,11,33.95
51,89,9.12,0,14.9
30,104,8.53,12,38.26
39,159,9.73,7,32.0
48,153,7.69,14,41.58
37,93,8.29,10,33.84
48,82,5.3,14,37.86
39,147,8.86,8,31.32
57,119,8.11,4,22.85
43,112,7.4,5,23.56
40,158,9.86,2,21.49
33,86,6.98,11,33.21
33,82,5.68,12,33.75
31,116,6.4,2,15.22
35,105,9.55,7,29.59
37,104,6.05,3,17.01
48,119,9.83,1,19.38
39,122,8.4,7,28.75
24,123,6.01,1,12.23
42,150,5.33,2,14.63
42,108,7.36,7,27.32
57,136,7.51,9,31.99
59,88,6.74,9,30.57
54,101,5.23,3,16.01
53,155,9.62,11,39.97
53,149,7.99,7,28.37
32,85,7.42,12,35.89
22,106,6.78,6,23.15
48,131,8.38,1,17.68
30,149,7.64,10,34.04
42,128,9.24,9,33.72
37,102,7.78,8,29.72
46,100,7.61,6,25.06
23,153,5.99,4,18.3
27,87,5.37,0,9.79
28,133,6.06,6,23.35
40,93,5.81,11,32.66
32,110,8.62,11,36.21
55,130,6.28,1,13.33
37,141,8.38,13,40.82
48,97,7.91,2,17.59
30,126,6.25,5,21.31
42,131,8.06,1,17.49
58,116,8.48,8,31.85
53,109,5.09,3,16.1
42,109,7.79,7,28.01
57,154,8.86,8,32.05
33,127,5.57,2,14.59
47,118,6.96,1,13.9
35,106,6.48,0,11.66
42,95,8.19,7,27.96
50,111,8.81,9,33.47
57,108,9.82,8,33.18
54,131,7.49,12,37.04
54,153,8.59,4,22.86
55,154,7.62,12,37.88
39,94,6.79,7,25.9
28,123,6.02,13,36.49
59,102,9.44,9,35.8
53,127,7.92,0,14.78
48,102,8.2,10,33.66
57,150,8.08,6,26.74
45,93,6.19,14,39.05
56,152,6.61,3,18.81
37,133,9.22,13,41.4
44,149,7.25,11,35.18
41,122,5.07,10,28.84
22,124,7.18,3,18.21
51,101,6.16,6,22.89
53,140,9.31,12,40.33
50,97,7.56,0,14.08
32,123,9.97,1,19.2
32,152,5.16,3,15.64
44,97,7.76,10,33.37
44,136,5.26,1,11.74
31,94,6.42,7,25.54
33,152,6.15,8,26.82
47,137,6.41,9,30.4
28,81,9.9,9,34.88
30,93,6.39,0,10.84
28,100,5.82,6,22.13
40,122,9.76,6,28.87
28,124,8.13,13,39.36
29,113,6.43,12,35.19
27,150,8.3,8,30.63
34,158,8.94,9,33.02
48,91,5.08,2,13.11
22,86,6.17,0,10.55
28,148,7.85,8,29.15
33,107,7.55,12,37.97
41,104,7.11,11,34.12
48,145,5.15,10,30.53
55,130,9.76,2,21.04
43,152,8.58,13,41.03
35,113,9.98,6,29.21
22,125,9.37,14,44.4
32,126,7.87,3,20.36
56,111,6.76,13,39.13
23,91,5.82,9,28.94
25,98,6.06,2,13.6
23,126,9.34,7,30.47
39,117,9.31,3,21.62
22,89,9.3,5,25.65
57,89,9.3,9,33.92
37,120,5.93,14,38.69
34,134,9.27,14,44.3
48,150,5.63,4,18.99
47,153,7.07,0,12.7
30,122,9.96,10,37.41
23,117,8.49,3,20.39
56,106,8.23,6,26.52
58,111,6.13,1,14.02
45,150,8.68,3,21.3
42,127,7.74,0,13.32
59,105,7.41,13,38.7
50,137,6.17,0,12.1
41,155,5.62,0,10.34
50,103,6.14,1,14.39
48,133,7.53,3,20.29
51,125,9.82,11,39.35
46,137,6.26,4,18.73
42,111,8.39,7,28.3
41,95,5.88,5,20.49
21,149,7.04,10,31.83
57,144,6.38,5,22.39
33,92,6.73,1,13.43
41,85,6.11,4,19.8
29,91,9.87,14,43.83
37,88,6.66,6,24.6
41,138,9.36,7,29.69
51,146,6.69,0,12.08
59,103,7.56,1,16.08
42,94,9.57,6,28.63
32,142,6.09,3,17.06
26,129,7.3,11,34.65
36,100,9.74,11,38.0
46,80,9.26,2,19.36
25,90,7.7,14,41.47
29,146,6.2,12,35.96
34,101,7.73,2,17.89
50,153,9.18,8,32.77
46,86,8.4,2,18.81
49,128,7.54,14,41.93
39,80,6.22,6,22.06
28,144,8.18,5,23.64
43,142,6.49,13,37.62
55,143,5.06,10,29.76
51,105,6.9,9,31.76
55,96,6.01,12,36.36
52,90,9.47,4,24.09
25,146,5.6,7,23.59
36,89,6.7,2,14.61
37,145,6.07,13,37.61
52,111,5.84,3,17.3
58,95,7.48,5,23.68
52,105,9.91,6,29.17
40,153,6.91,5,22.16
22,135,7.44,8,29.07
40,88,8.18,13,40.74
38,84,8.46,11,35.21
21,86,7.25,11,33.51
49,144,5.4,14,38.28
49,91,9.2,2,20.22
39,159,7.76,12,37.51
26,127,7.34,1,15.61
59,151,9.21,7,30.71
28,104,7.99,5,23.17
44,92,6.06,3,16.92
40,120,7.12,10,32.87
34,89,8.44,2,18.28
25,119,9.93,14,45.04
54,112,8.06,1,16.54
36,114,5.97,5,19.6
27,116,5.09,1,11.59
36,95,6.52,4,19.21
27,151,7.14,7,26.9
47,112,8.11,11,36.4
34,132,5.97,12,34.5
34,114,5.42,4,17.59
53,134,6.12,0,11.66
53,155,7.67,2,17.95
40,158,5.65,14,39.27
56,96,5.77,1,13.52
27,106,9.48,2,20.24
52,100,5.45,10,30.67
23,100,8.49,4,21.81
59,96,5.12,2,14.12
49,106,7.93,5,24.91
44,155,9.12,7,29.61
42,127,7.67,2,16.96
26,123,6.28,1,13.42
44,115,5.1,10,31.02
43,107,5.05,3,14.75
58,104,9.11,8,31.45
30,152,8.14,7,27.77
36,126,7.28,14,40.81
31,102,7.53,0,14.12
52,154,7.65,3,20.35
26,129,6.79,0,11.78
44,144,9.15,10,36.1
53,95,9.97,1,18.98
32,129,7.56,4,22.11
47,92,7.47,10,32.01
58,159,9.63,14,45.04
38,159,8.31,4,22.47
59,114,8.19,2,18.73
33,111,5.31,2,14.0
50,104,7.45,5,23.29
33,122,8.01,10,33.74
54,107,9.09,9,34.43
56,145,8.67,14,43.5
50,146,9.95,9,35.44
45,112,5.39,1,12.11
22,126,7.73,5,23.87
56,114,5.56,2,14.14
38,143,9.02,10,35.67
25,91,7.88,3,18.19
39,132,6.37,3,17.7
38,123,7.2,7,27.35
52,125,9.66,6,29.42
41,90,8.9,12,39.36
30,149,7.66,9,31.93
57,125,9.01,5,26.18
42,138,5.15,0,10.59
33,138,9.49,12,41.4
37,113,8.76,5,24.94
29,100,8.98,4,22.52
44,151,7.68,8,29.44
34,131,8.47,8,30.13
28,127,8.21,9,32.53
57,157,9.07,10,37.51
39,98,8.52,12,38.91
48,83,7.51,5,22.72
50,111,5.43,8,26.67
27,107,9.97,1,18.46
46,155,6.76,12,37.32
31,137,8.8,7,29.15
34,153,8.06,14,42.47
41,120,9.89,5,26.06
28,112,9.82,6,28.34
23,93,7.17,10,31.11
48,132,9.26,5,26.11
49,155,5.6,5,20.56
43,121,6.06,12,36.08
38,115,7.87,8,30.17
55,104,6.06,8,27.08
33,131,5.59,11,32.37
32,119,6.01,1,13.54
25,149,6.66,13,36.98
59,159,9.91,5,27.75
31,141,5.44,14,37.68
31,88,5.43,1,12.3
51,157,5.22,10,30.18
51,148,6.2,12,35.85
33,100,5.56,10,30.34
34,132,5.22,0,10.52
45,149,7.23,12,37.53
53,80,9.02,11,38.45
53,110,5.5,11,32.08
35,124,5.53,5,20.33
36,107,9.06,6,27.4
58,82,6.64,12,35.04
26,119,7.5,1,14.68
45,83,8.9,7,29.16
35,149,7.04,10,31.22
24,155,5.1,5,19.09
24,91,7.08,3,18.03
50,141,9.43,11,38.19
54,150,5.61,6,22.98
47,127,8.38,7,29.78
51,86,7.49,4,20.87
52,136,7.66,3,19.76
59,135,9.15,5,25.79
29,146,8.93,8,32.34
28,92,9.92,12,40.15
34,131,5.84,6,23.17
53,142,6.27,0,11.7
43,120,8.73,14,43.23
41,154,9.2,12,40.59
32,102,9.11,5,24.86
22,126,7.28,7,26.65
33,144,5.54,5,20.4
24,110,6.83,8,27.47
40,115,6.4,5,21.59
34,93,7.55,2,17.96
50,116,5.82,7,25.34
49,111,8.2,10,34.03
28,132,9.83,12,41.01
32,107,8.68,10,35.09
58,144,9.92,13,43.0
46,126,8.56,2,19.03
22,150,8.71,13,40.97
34,159,7.66,3,19.56
26,111,9.74,4,24.85
51,103,6.8,11,33.56
37,93,8.82,8,29.97
45,126,5.01,13,36.3
52,158,9.05,3,21.79
32,80,6.47,7,25.83
33,98,5.42,5,19.53
39,137,8.62,5,24.78
45,86,7.61,11,35.64
51,156,6.43,11,34.66
57,143,8.77,6,27.58
45,97,7.13,4,21.11
36,142,8.25,9,32.36
58,147,9.99,3,24.07
43,129,5.02,7,23.7
34,147,9.24,9,34.19
26,95,7.79,1,15.27
45,93,6.86,14,39.44
43,141,9.76,9,34.75
32,157,9.7,3,22.47
33,86,5.3,0,10.18
56,135,8.48,8,30.62
59,93,8.02,11,36.32
54,121,8.39,12,38.37
26,149,9.74,10,35.97
58,141,9.95,12,41.96
28,122,6.23,5,21.25
28,136,6.47,13,37.43
53,154,8.67,5,25.42
54,110,8.51,0,14.98
35,130,5.73,14,39.06
56,146,9.74,0,16.48
55,80,9.03,9,33.78
42,159,6.66,3,18.86
43,123,7.9,11,36.59
42,129,8.62,1,16.95
25,139,9.41,0,15.62
51,82,9.95,5,27.34
33,151,8.53,0,15.6
48,159,7.93,14,41.83
40,133,9.78,10,37.61
53,81,7.58,4,20.81
36,108,6.14,5,21.61
49,95,5.47,4,18.3
43,138,5.79,3,17.01
44,90,7.96,8,29.24
54,103,8.36,0,14.98
27,111,8.87,1,17.37
58,153,6.51,4,20.34
57,133,6.85,13,38.17
24,135,8.98,1,16.38
54,150,5.73,13,37.62
42,159,9.3,1,17.76
25,122,6.41,7,24.66
43,132,7.3,6,24.7
35,80,6.14,10,30.93
51,140,5.72,12,35.95
29,113,8.78,7,28.73
45,140,8.97,0,15.34
45,140,6.63,13,38.54
41,87,9.51,1,17.27
29,133,8.39,12,37.98
58,132,7.62,5,23.97
42,99,9.24,0,16.5
43,125,9.39,4,24.64
24,110,8.0,10,34.77
49,105,7.92,12,37.62
35,142,8.42,5,24.89
21,99,7.85,4,20.04
50,101,7.9,14,41.85
49,136,7.99,10,34.19
40,136,6.61,9,30.64
53,105,8.77,13,41.19
56,96,6.79,1,14.49
42,106,8.24,3,19.95
33,146,8.63,11,37.67
27,135,7.78,13,39.81
28,103,6.16,3,17.18
48,104,7.89,5,23.85
29,89,9.09,9,32.82
45,115,5.4,8,26.35
36,124,8.29,1,16.17
30,96,5.54,11,31.74
31,157,8.24,3,20.8
51,137,6.39,0,12.99
32,102,9.45,0,15.94
51,87,6.98,6,24.28
34,129,6.92,2,16.88
52,95,9.27,12,39.65
37,122,9.82,4,24.89
55,125,5.14,9,28.96
21,128,7.45,13,39.08
49,94,7.83,5,24.27
24,128,9.63,9,34.1
43,100,7.97,2,17.6
48,154,7.89,5,24.4
36,85,8.7,13,40.56
32,134,8.96,7,29.4
41,159,7.34,6,25.07
37,155,5.81,11,32.76
33,94,9.28,0,15.33
52,90,5.82,1,13.04
57,118,9.9,2,21.49
35,153,6.81,7,26.27
32,130,9.76,6,27.89
35,116,8.51,3,20.81
54,128,9.33,1,18.08
26,136,9.71,8,32.3
37,144,8.35,2,18.19
40,96,8.9,7,29.36
29,142,6.02,10,31.98
25,93,6.91,2,15.37
43,117,7.0,0,11.63
53,104,5.85,2,13.81
58,116,7.8,8,30.68
34,135,8.73,5,24.29
37,86,6.26,3,17.93
39,90,8.63,7,28.11
